term,Year,Session,emplid,Course,grade,status,degree,Major1,Major2
201709,2017,Fall,1,3130,WD,Drop,CS,COMPSC-BS,""
201709,2017,Fall,2,3130,F,Fail,CS,COMPSC-BS,""
201709,2017,Fall,3,3130,W,Drop,"",PHIL-BA/PHILFLDS,""
201709,2017,Fall,4,3130,B,Pass,IS,INFOSCI-BS,""
201709,2017,Fall,5,3130,B,Pass,Grad-CS,CS-MA,""
201709,2017,Fall,6,3130,B,Pass,CS,COMPSC-BS,""
201709,2017,Fall,7,3130,C,Pass,CS,COMPSC-BS,""
201709,2017,Fall,8,3130,B+,Pass,CS,COMPSC-BS,""
201709,2017,Fall,9,3130,C,Pass,CS,COMPSC-BS,""
201709,2017,Fall,10,3130,F,Fail,CS,COMPSC-BS,""
201709,2017,Fall,11,3130,F,Fail,CS,COMPSC-BS,""
201709,2017,Fall,12,3130,B,Pass,CS,COMPSC-BS,""
201709,2017,Fall,13,3130,B-,Pass,CS,COMPSC-BS,""
201709,2017,Fall,14,3130,A-,Pass,CS,COMPSC-BS,""
201709,2017,Fall,15,3130,C,Pass,IS,INFOSCI-BS,""
201709,2017,Fall,16,3130,B-,Pass,CS,COMPSC-BS,""
201709,2017,Fall,17,3130,B,Pass,CS,COMPSC-BS,""
201709,2017,Fall,18,3130,C,Pass,CS,COMPSC-BS,""
201709,2017,Fall,19,3130,C,Pass,IS,INFOSCI-BS,""
201709,2017,Fall,20,3130,C,Pass,CS,COMPSC-BS,""
201709,2017,Fall,21,3130,F,Fail,IS,INFOSCI-BS,""
201709,2017,Fall,22,3130,A-,Pass,CS,COMPSC-BS,""
201709,2017,Fall,23,3130,B,Pass,CS,COMPSC-BS,""
201709,2017,Fall,24,3130,C,Pass,CS,COMPSC-BS,""
201709,2017,Fall,25,3130,B+,Pass,CS,COMPSC-BS,""
201709,2017,Fall,26,3130,F,Fail,CS,COMPSC-BS,""
201709,2017,Fall,27,3130,C,Pass,CS,COMPSC-BS,""
201709,2017,Fall,28,3130,C+,Pass,CS,COMPSC-BS,""
201709,2017,Fall,29,3130,B-,Pass,CS,COMPSC-BS,""
201709,2017,Fall,30,3130,B+,Pass,MMC,MULTI-BS,""
201709,2017,Fall,31,3130,B,Pass,CS,COMPSC-BS,""
201709,2017,Fall,32,3130,C+,Pass,CS,COMPSC-BS,""
201709,2017,Fall,33,3130,B,Pass,CS,COMPSC-BS,""
201709,2017,Fall,34,3130,C,Pass,CS,COMPSC-BS,""
201709,2017,Fall,35,3130,B,Pass,CS,COMPSC-BS,""
201709,2017,Fall,36,3130,C+,Pass,CS,COMPSC-BS,""
201709,2017,Fall,37,3130,D+,Fail,CS,COMPSC-BS,""
201709,2017,Fall,38,3130,A-,Pass,Grad-IS,INFOSYS-MS,""
201709,2017,Fall,39,3130,A,Pass,CS,COMPSC-BS,""
201709,2017,Fall,40,3130,A,Pass,CS,COMPSC-BS,MATH-BS/GENMATH
201709,2017,Fall,41,1115,W,Drop,"",NONDG-GR/CIS,""
201709,2017,Fall,42,1115,F,Fail,"",PHYS-BS,""
201709,2017,Fall,43,1115,A,Pass,"",NONDG-UG,""
201709,2017,Fall,44,1115,W,Drop,CS,COMPSC-BS,""
201709,2017,Fall,45,1115,A,Pass,"",BIO-BS,""
201709,2017,Fall,46,1115,B,Pass,CS,COMPSC-BS,""
201709,2017,Fall,47,1115,C,Pass,"",UNDECL-BA,""
201709,2017,Fall,48,1115,A,Pass,"",PHYS-BS,""
201709,2017,Fall,49,1115,F,Fail,"",UNDECL-BA,""
201709,2017,Fall,50,1115,A,Pass,"",CHEM-BA,""
201709,2017,Fall,51,1115,F,Fail,"",UNDECL-BA,""
201709,2017,Fall,52,1115,D,Fail,"",UNDECL-BA,""
201709,2017,Fall,53,1115,D,Fail,"",UNDECL-BA,""
201709,2017,Fall,54,1115,A,Pass,"",UNDECL-BA,""
201709,2017,Fall,55,1115,D,Fail,"",UNDECL-BA,""
201709,2017,Fall,56,1115,F,Fail,"",UNDECL-BA,""
201709,2017,Fall,57,1115,F,Fail,"",UNDECL-BA,""
201709,2017,Fall,58,1115,B,Pass,"",UNDECL-BA,""
201709,2017,Fall,59,1115,W,Drop,"",UNDECL-BA,""
201709,2017,Fall,60,1115,A,Pass,"",UNDECL-BA,""
201709,2017,Fall,61,1115,F,Fail,"",UNDECL-BA,""
201709,2017,Fall,62,1115,A,Pass,"",UNDECL-BA,""
201709,2017,Fall,63,1115,W,Drop,"",UNDECL-BA,""
201709,2017,Fall,64,1115,B,Pass,"",UNDECL-BA,""
201709,2017,Fall,65,1115,B,Pass,"",UNDECL-BA,""
201709,2017,Fall,66,1115,F,Fail,"",UNDECL-BA,""
201709,2017,Fall,67,1115,B,Pass,"",UNDECL-BA,""
201709,2017,Fall,68,1115,B,Pass,"",PHYS-BS,""
201709,2017,Fall,69,1115,F,Fail,"",UNDECL-BA,""
201709,2017,Fall,70,1115,F,Fail,"",CHEM-BS,""
