term,Year,Session,emplid,Course,grade,status,degree,Major1,Major2
201802,2018,Spring,359,1170,F,Fail,CS,COMPSC-BS,""
201802,2018,Spring,360,1170,B+,Pass,CS,COMPSC-BS,""
201802,2018,Spring,361,1170,B,Pass,CS,COMPSC-BS,""
201802,2018,Spring,362,1170,A-,Pass,"",MATH-BS/GENMATH,""
201802,2018,Spring,363,1170,B,Pass,IS,INFOSCI-BS,""
201802,2018,Spring,364,1170,W,Drop,"",UNDECL-BA,""
201802,2018,Spring,365,1170,B+,Pass,"",UNDECL-BA,""
201802,2018,Spring,366,1170,C+,Pass,CS,COMPSC-BS,""
201802,2018,Spring,367,1170,C+,Pass,CS,COMPSC-BS,""
201802,2018,Spring,368,1170,B,Pass,CS,COMPSC-BS,""
201802,2018,Spring,369,3115,W,Drop,"",PEDEXER-BS,""
201802,2018,Spring,194,3115,F,Fail,CS,COMPSC-BS,""
201802,2018,Spring,370,3115,A+,Pass,CS,COMPSC-BS,PHIL-BA/PHILGEN
201802,2018,Spring,46,3115,B,Pass,CS,COMPSC-BS,""
201802,2018,Spring,371,3115,W,Drop,CS,COMPSC-BS,""
201802,2018,Spring,197,3115,C,Pass,CS,COMPSC-BS,""
201802,2018,Spring,229,3115,A-,Pass,CS,COMPSC-BS,""
201802,2018,Spring,201,3115,B,Pass,"",UNDECL-BA,""
201802,2018,Spring,372,3115,C-,Fail,CS,COMPSC-BS,""
201802,2018,Spring,77,3115,W,Drop,CS,COMPSC-BS,""
201802,2018,Spring,373,3115,WU,Fail,"",UNDECL-BA,""
201802,2018,Spring,374,3115,W,Drop,CS,COMPSC-BS,""
201802,2018,Spring,109,3115,W,Drop,CS,COMPSC-BS,""
201802,2018,Spring,375,3115,W,Drop,CS,COMPSC-BS,""
201802,2018,Spring,80,3115,F,Fail,CS,COMPSC-BS,""
201802,2018,Spring,234,3115,F,Fail,CS,COMPSC-BS,ACCTPUB-BS
201802,2018,Spring,376,3115,W,Drop,CS,COMPSC-BS,""
201802,2018,Spring,377,3115,C,Pass,CS,COMPSC-BS,""
201802,2018,Spring,111,3115,A-,Pass,CS,COMPSC-BS,""
201802,2018,Spring,174,3115,F,Fail,IS,INFOSCI-BS,""
201802,2018,Spring,176,3115,W,Drop,"",TVR-BA,COMM-BA
201802,2018,Spring,378,3115,A,Pass,CS,COMPSC-BS,""
201802,2018,Spring,177,3115,W,Drop,CS,COMPSC-BS,""
201802,2018,Spring,379,3115,B-,Pass,CS,COMPSC-BS,""
201802,2018,Spring,179,3115,W,Drop,"",BMF-BS,""
201802,2018,Spring,380,3115,B,Pass,"",LING-BA,""
201802,2018,Spring,239,3115,A-,Pass,"",ACCTPUB-BS,""
201802,2018,Spring,381,3115,C,Pass,IS,INFOSCI-BS,""
201802,2018,Spring,240,3115,B,Pass,CS,COMPSC-BS,""
201802,2018,Spring,146,3115,C,Pass,"",UNDECL-BA,""
201802,2018,Spring,382,3115,A,Pass,CS,COMPSC-BS,""
201802,2018,Spring,125,3115,A,Pass,CS,COMPSC-BS,""
201802,2018,Spring,383,3115,A+,Pass,"",UNDECL-BA,""
201802,2018,Spring,248,3115,B,Pass,"",UNDECL-BA,""
201802,2018,Spring,101,3115,B,Pass,CS,COMPSC-BS,""
201802,2018,Spring,135,3115,B,Pass,IS,INFOSCI-BS,""
201802,2018,Spring,384,3115,W,Drop,CS,COMPSC-BS,""
201802,2018,Spring,138,3115,B,Pass,CS,COMPSC-BS,""
201802,2018,Spring,108,3115,W,Drop,"",FINC-BBA,""
201802,2018,Spring,258,3115,B,Pass,CS,COMPSC-BS,""
201802,2018,Spring,385,3115,W,Drop,IS,INFOSCI-BS,""
201802,2018,Spring,386,3115,F,Fail,IS,INFOSCI-BS,""
201802,2018,Spring,166,3115,C,Pass,IS,INFOSCI-BS,""
201802,2018,Spring,387,3115,B,Pass,CS,COMPSC-BS,""
201802,2018,Spring,388,3115,C,Pass,CS,COMPSC-BS,""
201802,2018,Spring,389,3115,A,Pass,CS,COMPSC-BS,""
201802,2018,Spring,172,3115,A-,Pass,CS,MHCPSY-BS,MHCCIS-BS
201802,2018,Spring,112,3115,F,Fail,CS,COMPSC-BS,""
201802,2018,Spring,390,3115,B,Pass,IS,INFOSCI-BS,""
201802,2018,Spring,391,3115,A,Pass,CS,COMPSC-BS,""
201802,2018,Spring,92,3115,A,Pass,CS,COMPSC-BS,""
201802,2018,Spring,267,3115,B,Pass,IS,INFOSCI-BS,""
201802,2018,Spring,392,3115,A,Pass,CS,COMPSC-BS,""
201802,2018,Spring,393,3115,A,Pass,CS,COMPSC-BS,""
201802,2018,Spring,394,3115,B,Pass,CS,COMPSC-BS,""
201802,2018,Spring,276,3115,A-,Pass,"",UNDECL-BA,""
201802,2018,Spring,95,3115,A-,Pass,CS,COMPSC-BS,""
201802,2018,Spring,216,3115,F,Fail,"",UNDECL-BA,""
201802,2018,Spring,217,3115,A+,Pass,"",UNDECL-BA,""
201802,2018,Spring,395,3115,B,Pass,"",UNDECL-BA,""
201802,2018,Spring,99,3115,A,Pass,CS,COMPSC-BS,""
201802,2018,Spring,246,3115,B,Pass,CS,COMPSC-BS,""
201802,2018,Spring,126,3115,B,Pass,"",UNDECL-BA,""
201802,2018,Spring,249,3115,B,Pass,CS,COMPSC-BS,""
201802,2018,Spring,158,3115,B,Pass,"",UNDECL-BA,""
201802,2018,Spring,159,3115,A,Pass,"",UNDECL-BA,""
201802,2018,Spring,190,3115,A,Pass,CS,COMPSC-BS,""
201802,2018,Spring,396,3115,C,Pass,IS,INFOSCI-BS,""
201802,2018,Spring,397,3115,C,Pass,Grad-HI,HLTHINF-MS,""
201802,2018,Spring,398,3115,WD,Drop,CS,COMPSC-BS,WOMEN-BA
201802,2018,Spring,102,3115,A,Pass,CS,COMPSC-BS,""
201802,2018,Spring,399,3115,A,Pass,CS,COMPSC-BS,""
201802,2018,Spring,400,3115,W,Drop,CS,COMPSC-BS,""
201802,2018,Spring,256,3115,A,Pass,CS,COMPSC-BS,""
201802,2018,Spring,105,3115,A,Pass,CS,COMPSC-BS,""
201802,2018,Spring,401,3115,A,Pass,"",CHEM-BA,""
201802,2018,Spring,164,3115,W,Drop,IS,INFOSCI-BS,""
201802,2018,Spring,334,3115,B-,Pass,CS,COMPSC-BS,""
201802,2018,Spring,169,3115,W,Drop,CS,COMPSC-BS,""
201802,2018,Spring,170,3115,B+,Pass,CS,COMPSC-BS,""
201802,2018,Spring,402,3115,B-,Pass,CS,COMPSC-BS,""
201802,2018,Spring,263,3115,D,Fail,CS,COMPSC-BS,""
201802,2018,Spring,403,3115,WU,Fail,CS,COMPSC-BS,""
201802,2018,Spring,89,3115,B,Pass,"",UNDECL-BA,""
201802,2018,Spring,206,3115,B,Pass,CS,COMPSC-BS,""
201802,2018,Spring,91,3115,B-,Pass,CS,COMPSC-BS,""
201802,2018,Spring,213,3115,B,Pass,CS,COMPSC-BS,""
201802,2018,Spring,404,3115,W,Drop,CS,COMPSC-BS,""
201802,2018,Spring,52,3115,D,Fail,"",UNDECL-BA,""
201802,2018,Spring,54,3115,A,Pass,"",UNDECL-BA,""
201802,2018,Spring,55,3115,C,Pass,"",UNDECL-BA,""
201802,2018,Spring,405,3115,A+,Pass,"",UNDECL-BA,""
201802,2018,Spring,93,3115,C,Pass,CS,COMPSC-BS,""
201802,2018,Spring,406,3115,B+,Pass,CS,COMPSC-BS,""
201802,2018,Spring,407,3115,A,Pass,CS,COMPSC-BS,MATH-BS/APPLDMTH
201802,2018,Spring,185,3115,A,Pass,"",MHCPHY-BS,""
201802,2018,Spring,153,3115,B+,Pass,CS,JRNL-BA,COMPSC-BS
201802,2018,Spring,186,3115,A-,Pass,"",UNDECL-BA,""
201802,2018,Spring,408,3115,B,Pass,"",UNDECL-BA,""
201802,2018,Spring,219,3115,A+,Pass,"",UNDECL-BA,""
201802,2018,Spring,245,3115,A+,Pass,CS,MHCCIS-BS,""
201802,2018,Spring,409,3115,A+,Pass,"",UNDECL-BA,""
201802,2018,Spring,155,3115,A,Pass,"",UNDECL-BA,""
201802,2018,Spring,410,3115,B+,Pass,"",UNDECL-BA,""
201802,2018,Spring,411,1115,W,Drop,Grad-IS,INFOSYS-MS,""
201802,2018,Spring,412,1115,F,Fail,IS,INFOSCI-BS,""
201802,2018,Spring,137,1115,F,Fail,CS,COMPSC-BS,""
201802,2018,Spring,413,1115,W,Drop,CS,COMPSC-BS,""
201802,2018,Spring,414,1115,A,Pass,Grad-HI,HLTHINF-MS,""
201802,2018,Spring,415,1115,A,Pass,CS,COMPSC-BS,""
201802,2018,Spring,416,1115,W,Drop,MMC,MULTI-BS,""
201802,2018,Spring,417,1115,C,Pass,CS,COMPSC-BS,""
201802,2018,Spring,418,1115,W,Drop,"",UNDECL-BA,""
201802,2018,Spring,238,1115,F,Fail,"",UNDECL-BA,""
201802,2018,Spring,419,1115,W,Drop,"",UNDECL-BA,""
201802,2018,Spring,420,1115,W,Drop,"",UNDECL-BA,""
201802,2018,Spring,421,1115,F,Fail,"",UNDECL-BA,""
201802,2018,Spring,422,1115,W,Drop,"",UNDECL-BA,""
201802,2018,Spring,423,1115,W,Drop,"",UNDECL-BA,""
201802,2018,Spring,424,1115,F,Fail,"",UNDECL-BA,""
201802,2018,Spring,425,1115,A+,Pass,CS,COMPSC-BS,""
201802,2018,Spring,426,1115,C,Pass,IS,INFOSCI-BS,""
201802,2018,Spring,57,1115,B,Pass,"",UNDECL-BA,""
201802,2018,Spring,427,1115,A,Pass,"",UNDECL-BA,""
201802,2018,Spring,428,1115,W,Drop,"",UNDECL-BA,""
201802,2018,Spring,429,1115,F,Fail,"",PSYCH-BA,""
201802,2018,Spring,430,1115,F,Fail,"",UNDECL-BA,""
201802,2018,Spring,431,1115,W,Drop,"",UNDECL-BA,""
201802,2018,Spring,432,1115,W,Drop,"",UNDECL-BA,""
201802,2018,Spring,433,1115,W,Drop,"",UNDECL-BA,""
201802,2018,Spring,434,1115,W,Drop,"",UNDECL-BA,""
201802,2018,Spring,435,1115,F,Fail,CS,COMPSC-BS,""
201802,2018,Spring,436,1115,F,Fail,"",PHYS-BS,""
201802,2018,Spring,437,1115,A+,Pass,"",ACTMATH-BS,""
201802,2018,Spring,334,1115,A-,Pass,CS,COMPSC-BS,""
201802,2018,Spring,438,1115,C-,Fail,IS,INFOSCI-BS,""
201802,2018,Spring,439,1115,W,Drop,"",ACTMATH-BS,""
201802,2018,Spring,440,1115,B,Pass,IS,INFOSCI-BS,""
201802,2018,Spring,441,1115,D,Fail,"",UNDECL-BA,""
201802,2018,Spring,264,1115,F,Fail,"",MATH-BA,""
201802,2018,Spring,442,1115,C,Pass,"",UNDECL-BA,""
201802,2018,Spring,88,1115,F,Fail,IS,INFOSCI-BS,""
201802,2018,Spring,443,1115,A,Pass,"",UNDECL-BA,""
201802,2018,Spring,444,1115,C-,Fail,CS,COMPSC-BS,""
201802,2018,Spring,445,1115,WN,Drop,"",CHEM-BS,""
201802,2018,Spring,446,1115,F,Fail,"",BUSADM-BBA/EBUS,""
201802,2018,Spring,447,1115,C-,Fail,"",UNDECL-BA,""
201802,2018,Spring,448,1115,C,Pass,"",UNDECL-BA,""
201802,2018,Spring,449,1115,W,Drop,"",UNDECL-BA,""
201802,2018,Spring,450,1115,A+,Pass,"",UNDECL-BA,""
201802,2018,Spring,451,1115,C+,Pass,"",UNDECL-BA,""
201802,2018,Spring,452,1115,C+,Pass,"",UNDECL-BA,""
201802,2018,Spring,453,1115,D+,Fail,"",UNDECL-BA,""
201802,2018,Spring,454,1115,B-,Pass,CS,COMPSC-BS,""
201802,2018,Spring,455,1115,B,Pass,"",UNDECL-BA,""
201802,2018,Spring,456,1115,W,Drop,"",PEDEXER-BS/FITPROF,""
201802,2018,Spring,457,1115,D+,Fail,CS,COMPSC-BS,""
201802,2018,Spring,458,1115,A-,Pass,"",UNDECL-BA,""
201802,2018,Spring,459,1115,F,Fail,"",UNDECL-BA,""
201802,2018,Spring,460,1115,B+,Pass,"",UNDECL-BA,""
201802,2018,Spring,461,1115,B,Pass,"",UNDECL-BA,""
201802,2018,Spring,462,1115,W,Drop,"",UNDECL-BA,""
201802,2018,Spring,463,1115,C,Pass,"",UNDECL-BA,""
201802,2018,Spring,464,1115,D,Fail,"",UNDECL-BA,""
201802,2018,Spring,465,1115,C,Pass,"",FINMATH-BS,ACTMATH-BS
201802,2018,Spring,371,1115,F,Fail,CS,COMPSC-BS,""
201802,2018,Spring,466,1115,F,Fail,"",FILM-BA/FILMPROD,""
201802,2018,Spring,290,1115,D,Fail,CS,COMPSC-BS,""
201802,2018,Spring,467,1115,A,Pass,"",MHCABMF-BS,""
201802,2018,Spring,468,1115,C,Pass,CS,COMPSC-BS,""
